test_path,test_label,test_class,nearest_train_path,nearest_train_label,hamming_distance,is_near_duplicate
color/Apple___healthy/1497c20f-448a-48e2-9cf0-b4fc8cfa848a___RS_HL 6292.JPG,3,Apple___healthy,color/Soybean___healthy/1f22efed-6dea-40b6-9597-5f6abe515095___RS_HL 4673.JPG,24,4,True
color/Apple___healthy/5192db55-4aa7-421c-92d4-c2dac79e7379___RS_HL 6273.JPG,3,Apple___healthy,color/Apple___healthy/9b75de13-d4b0-4b3f-988c-3e9926eef957___RS_HL 6273.JPG,3,0,True
color/Blueberry___healthy/201aef7f-4e1c-4197-ae37-66ca340909bc___RS_HL 0672.JPG,4,Blueberry___healthy,color/Blueberry___healthy/76610fbe-b5da-460e-ae69-29e89b02f1dd___RS_HL 0577.JPG,4,4,True
color/Blueberry___healthy/7b7ada95-0a08-4b41-a028-e4ba89ca33c4___RS_HL 5097.JPG,4,Blueberry___healthy,color/Blueberry___healthy/39a6957f-2837-4a39-bb60-a8a3c155290f___RS_HL 5099.JPG,4,4,True
color/Cherry_(including_sour)___Powdery_mildew/afc7e0e1-0524-4de8-8409-ba6e501c8d54___FREC_Pwd.M 0515.JPG,5,Cherry_(including_sour)___Powdery_mildew,color/Cherry_(including_sour)___Powdery_mildew/900cf5aa-c000-45d4-8e30-743c195b1ccd___FREC_Pwd.M 0516.JPG,5,2,True
color/Cherry_(including_sour)___Powdery_mildew/f3ca4413-77d8-4e46-8c5b-399a1d34c8f9___FREC_Pwd.M 0482.JPG,5,Cherry_(including_sour)___Powdery_mildew,color/Cherry_(including_sour)___Powdery_mildew/38b9665e-5c2e-4f30-9909-015cf9b3a4ef___FREC_Pwd.M 0481.JPG,5,4,True
color/Cherry_(including_sour)___healthy/0e74a030-4b86-4c3f-8944-31e68d1911ba___JR_HL 4016.JPG,6,Cherry_(including_sour)___healthy,color/Cherry_(including_sour)___healthy/b570727c-3764-46cd-b128-d29353da1b9d___JR_HL 4024.JPG,6,4,True
color/Cherry_(including_sour)___healthy/705108ce-01cc-4bf5-b92b-bdd4dfd3cabd___JR_HL 4001.JPG,6,Cherry_(including_sour)___healthy,color/Soybean___healthy/2b3551c3-835f-4051-aa8e-e673c8b7dbf3___RS_HL 3867.JPG,24,4,True
color/Cherry_(including_sour)___healthy/8d8affc9-f724-4e95-827c-763d0e3cac90___JR_HL 9894 copy.JPG,6,Cherry_(including_sour)___healthy,color/Cherry_(including_sour)___healthy/3e9c21cc-c912-46fd-bec7-6ab095e33d47___JR_HL 9443.JPG,6,4,True
color/Cherry_(including_sour)___healthy/9c1ddac2-44fa-4a3a-b7cb-4ab597faf089___JR_HL 4070.JPG,6,Cherry_(including_sour)___healthy,color/Soybean___healthy/c196bf2c-d07a-48e9-8283-a529351b1118___RS_HL 6275.JPG,24,4,True
color/Cherry_(including_sour)___healthy/9ce21384-43da-4599-99c3-63af7c18cf96___JR_HL 4004.JPG,6,Cherry_(including_sour)___healthy,color/Cherry_(including_sour)___healthy/39d6a038-a6f1-4bff-934c-dabb4496e691___JR_HL 4008.JPG,6,4,True
