path,label,class_name
color/Apple___Apple_scab/11f5b020-3dfd-400c-9819-7d229bc5f929___FREC_Scab 2945.JPG,0,Apple___Apple_scab
color/Apple___Apple_scab/12bc3d5c-2409-426e-b6cb-a08cbf488153___FREC_Scab 3154.JPG,0,Apple___Apple_scab
color/Apple___Apple_scab/2c7ca7c8-1a6c-4811-b9b0-b054c11a5397___FREC_Scab 3260.JPG,0,Apple___Apple_scab
color/Apple___Apple_scab/7897b5dc-7aa6-48b2-8c18-a30fcd6cae94___FREC_Scab 3203.JPG,0,Apple___Apple_scab
color/Apple___Apple_scab/97294a06-04ae-440f-b130-ddff2817c727___FREC_Scab 3372.JPG,0,Apple___Apple_scab
color/Apple___Apple_scab/c3d356bb-504c-48f7-b7aa-4feb5c009d6d___FREC_Scab 3383.JPG,0,Apple___Apple_scab
color/Apple___Apple_scab/d480dbfb-ce18-40cf-a183-9bc52ec9195d___FREC_Scab 3303.JPG,0,Apple___Apple_scab
color/Apple___Apple_scab/debd9885-73c5-4ba8-9a95-f820846cec77___FREC_Scab 3433.JPG,0,Apple___Apple_scab
color/Apple___Apple_scab/f79c50ef-d89d-4371-b581-810b37eb2ac9___FREC_Scab 3255.JPG,0,Apple___Apple_scab
color/Apple___Apple_scab/fbd09d7f-e816-408a-946e-e4009ec8cae1___FREC_Scab 3289.JPG,0,Apple___Apple_scab
color/Apple___Black_rot/1cdac481-1275-4228-a2ca-e3deaf268ffc___JR_FrgE.S 2897.JPG,1,Apple___Black_rot
color/Apple___Black_rot/4c42eeae-508c-4ccd-b2d8-b720808bc28c___JR_FrgE.S 3020.JPG,1,Apple___Black_rot
color/Apple___Black_rot/538ae10f-3137-4050-86f1-7439bc80e364___JR_FrgE.S 2766.JPG,1,Apple___Black_rot
color/Apple___Black_rot/56473ed3-436d-4ee1-842a-02bc4fba12e7___JR_FrgE.S 2847.JPG,1,Apple___Black_rot
color/Apple___Black_rot/5c857785-58d0-4e74-8fff-dce904538692___JR_FrgE.S 2790.JPG,1,Apple___Black_rot
color/Apple___Black_rot/719f24ab-9127-4a77-9f7e-7b47acb9f977___JR_FrgE.S 8802.JPG,1,Apple___Black_rot
color/Apple___Black_rot/789c7185-b853-4638-b621-03ee71ce0c7e___JR_FrgE.S 8641.JPG,1,Apple___Black_rot
color/Apple___Black_rot/b766b27a-cc4c-432f-a6cd-48eb65bf556b___JR_FrgE.S 2921.JPG,1,Apple___Black_rot
color/Apple___Black_rot/d2313a95-61dd-45de-a8b8-3c2992e2b97f___JR_FrgE.S 8652.JPG,1,Apple___Black_rot
